N;MS;MS%;E;E%;ET;RT;DT
32;5;15.625;7;21.875;57.14286;28.57143;57.14286
64;6;9.375;8;12.5;62.5;25;62.5
128;7;5.46875;9;7.03125;55.555557;22.222223;55.555557
256;8;3.125;13;5.078125;61.538464;30.769232;61.538464
512;9;1.7578125;14;2.734375;64.28571;28.57143;64.28571
1024;10;0.9765625;21;2.0507813;61.904762;28.57143;61.904762
1536;10;0.6510416;24;1.5625;62.5;29.166666;62.5
2560;11;0.4296875;28;1.09375;64.28571;32.142857;64.28571
3584;11;0.30691963;36;1.0044643;63.88889;30.555555;63.88889
4608;12;0.2604167;40;0.8680556;65;32.5;65
5632;12;0.21306819;44;0.78125;65.909096;31.818182;65.909096
